,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2016-03-18,6.758333333333333,67.08333333333333,976.95,,,,,30.347826086956523,43.04347826086956,46.91304347826087,35.43333333333333,34.99166666666667,779.6,1,711.0,935.3,1057.6,1029.6,78,0,0,0,0
2016-03-19,7.116666666666667,66.41666666666667,976.15,,,,,13.347826086956522,33.0,27.91304347826087,34.75833333333333,35.43333333333333,990.7,2,779.6,711.0,935.3,1057.6,79,0,0,0,1
2016-03-20,9.408333333333331,63.79166666666666,975.2458333333334,,,,,5.695652173913044,19.47826086956522,14.956521739130435,28.558333333333334,34.75833333333333,1025.1999999999998,2,990.7,779.6,711.0,935.3,80,0,0,0,1
2016-03-21,7.495833333333334,69.875,974.6125,,,,,12.173913043478262,26.347826086956523,23.47826086956522,37.1625,28.558333333333334,1028.6,2,1025.1999999999998,990.7,779.6,711.0,81,0,0,0,0
2016-03-22,8.495833333333334,59.0,970.7875,,,,,15.565217391304348,26.43478260869565,26.217391304347824,29.1,37.1625,1055.1,2,1028.6,1025.1999999999998,990.7,779.6,82,0,0,0,0
2016-03-23,6.595833333333332,62.29166666666666,965.8958333333334,,,,,10.521739130434783,24.0,21.043478260869566,17.8875,29.1,913.9,2,1055.1,1028.6,1025.1999999999998,990.7,83,0,0,0,0
2016-03-24,6.458333333333333,59.875,969.7833333333332,,,,,10.826086956521738,22.43478260869565,20.47826086956522,13.458333333333334,17.8875,656.8,1,913.9,1055.1,1028.6,1025.1999999999998,84,0,0,0,0
2016-03-25,6.554166666666667,63.5,975.0458333333332,,,,,18.65217391304348,35.34782608695652,33.391304347826086,23.454166666666666,13.458333333333334,980.0,2,656.8,913.9,1055.1,1028.6,85,0,0,0,0
2016-03-26,8.495833333333334,69.79166666666667,977.4083333333332,,,,,10.304347826086955,23.08695652173913,20.347826086956523,24.741666666666664,23.454166666666666,967.2,2,980.0,656.8,913.9,1055.1,86,0,0,0,1
2016-03-27,9.179166666666667,64.70833333333333,975.5916666666668,,,,,8.652173913043478,24.695652173913043,19.869565217391305,44.0,24.741666666666664,984.1,2,967.2,980.0,656.8,913.9,87,0,0,1,1
2016-03-28,10.208333333333334,67.54166666666667,971.175,,,,,6.826086956521739,20.869565217391305,16.434782608695652,20.766666666666666,44.0,1008.3,2,984.1,967.2,980.0,656.8,88,1,0,0,0
2016-03-29,9.9,74.72727272727273,972.25,,,,,18.782608695652176,30.13043478260869,30.82608695652174,22.64583333333333,20.766666666666666,1024.1,2,1008.3,984.1,967.2,980.0,89,0,1,0,0
2016-03-30,10.804166666666667,71.58333333333333,975.4291666666668,,,,,30.043478260869566,31.565217391304348,40.65217391304348,28.133333333333336,22.64583333333333,858.5999999999999,2,1024.1,1008.3,984.1,967.2,90,0,0,0,0
2016-03-31,15.008333333333333,56.29166666666666,973.125,,,,,15.91304347826087,24.43478260869565,25.565217391304348,19.025,28.133333333333336,608.2,1,858.5999999999999,1024.1,1008.3,984.1,91,0,0,0,0
2016-04-01,15.066666666666668,58.375,973.575,,,,,29.60869565217392,35.78260869565217,42.43478260869565,36.42083333333333,19.025,732.0,1,608.2,858.5999999999999,1024.1,1008.3,92,0,0,0,0
2016-04-02,10.716666666666669,53.79166666666666,983.0833333333334,,,,,8.130434782608695,20.217391304347824,17.217391304347824,17.400000000000002,36.42083333333333,771.2,1,732.0,608.2,858.5999999999999,1024.1,93,0,0,0,1
2016-04-03,12.283333333333331,64.875,977.5,,,,,12.73913043478261,28.30434782608696,24.95652173913044,31.09166666666667,17.400000000000002,1017.4000000000001,2,771.2,732.0,608.2,858.5999999999999,94,0,0,0,1
2016-04-04,16.241666666666667,55.333333333333336,969.7333333333332,,,,,23.695652173913043,35.91304347826087,37.82608695652174,43.55,31.09166666666667,1048.1,2,1017.4000000000001,771.2,732.0,608.2,95,0,0,0,0
2016-04-05,18.54583333333333,46.29166666666666,968.2458333333334,,,,,23.13043478260869,35.869565217391305,37.21739130434783,82.41666666666667,43.55,1059.9,2,1048.1,1017.4000000000001,771.2,732.0,96,0,0,0,0
2016-04-06,16.929166666666667,54.91666666666666,970.3125,,,,,13.652173913043478,28.73913043478261,25.91304347826087,69.9625,82.41666666666667,910.5,2,1059.9,1048.1,1017.4000000000001,771.2,97,0,0,0,0
2016-04-07,15.495833333333332,60.708333333333336,971.0041666666666,,,,,16.608695652173914,27.08695652173913,27.47826086956522,23.14583333333333,69.9625,679.0,1,910.5,1059.9,1048.1,1017.4000000000001,98,0,0,0,0
2016-04-08,11.829166666666666,75.70833333333333,966.5916666666668,,,,,20.26086956521739,30.91304347826087,32.47826086956522,24.229166666666668,23.14583333333333,794.6,1,679.0,910.5,1059.9,1048.1,99,0,0,0,0
2016-04-09,11.741666666666667,64.08333333333333,964.5416666666666,,,,,8.08695652173913,14.608695652173912,14.08695652173913,10.608333333333334,24.229166666666668,994.0999999999999,2,794.6,679.0,910.5,1059.9,100,0,0,0,1
