,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2020-07-27,23.6125,68.25,974.891666666667,142.083333333333,0.554166666666667,2.26666666666667,6,5.56521739130435,12.0869565217391,10.8260869565217,16.4041666666667,15.6666666666667,778.6,1,912.4,897,880.7,898.4,209,0,0,0,0
2020-07-28,25.3125,72.2083333333333,972.066666666667,184.041666666667,0.629166666666667,2.65416666666667,8,4.95652173913044,12.9130434782609,10.6521739130435,21.85,16.4041666666667,592.3,1,778.6,912.4,897,880.7,210,0,0,0,0
2020-07-29,23.9916666666667,74.75,974.8125,193.875,0.608333333333333,2.56666666666667,9,2.73913043478261,12.5652173913043,8.73913043478261,13.8791666666667,21.85,692.7,1,592.3,778.6,912.4,897,211,0,0,0,0
2020-07-30,24.95,80.25,976.325,143.458333333333,0.379166666666667,1.88333333333333,6,4.86956521739131,11.7826086956522,10.0869565217391,23.1,13.8791666666667,870.6,2,692.7,592.3,778.6,912.4,212,0,0,0,0
2020-07-31,27.275,73.2916666666667,973.725,177.458333333333,0.55,2.29166666666667,8,3.39130434782609,10.2608695652174,8.08695652173913,25.6916666666667,23.1,884.6,2,870.6,692.7,592.3,778.6,213,0,0,0,0
2020-08-01,25.8083333333333,68,972.641666666667,124.291666666667,0.683333333333333,2.25833333333333,6,1.1304347826087,6.65217391304348,4.26086956521739,23.8875,25.6916666666667,895.4,2,884.6,870.6,692.7,592.3,214,0,0,0,1
2020-08-02,23.2166666666667,72.6666666666667,971.179166666667,186.25,0.529166666666667,1.84583333333333,8,0.391304347826087,5.69565217391304,3.04347826086957,17.825,23.8875,927.7,2,895.4,884.6,870.6,692.7,215,0,0,0,1
2020-08-03,20.6416666666667,95.6666666666667,965.779166666667,111.083333333333,0.725,2.4,5,4.04347826086957,10.6086956521739,8.56521739130435,18.3916666666667,17.825,790.1,1,927.7,895.4,884.6,870.6,216,0,0,0,0
2020-08-04,19.2083333333333,83.5416666666667,965.004166666667,186.791666666667,0.783333333333333,3.2875,8,2.54545454545455,8.95454545454546,6.68181818181818,10.05,18.3916666666667,562.2,1,790.1,927.7,895.4,884.6,217,0,0,0,0
2020-08-05,18.3666666666667,66.875,973,263.083333333333,0.779166666666667,3.10833333333333,12,3.72727272727273,11.8181818181818,9.27272727272727,11.4958333333333,10.05,657.3,1,562.2,790.1,927.7,895.4,218,0,0,0,0
2020-08-06,21.7458333333333,78.5416666666667,975.995833333333,112.625,0.716666666666667,2.13333333333333,5,7.65217391304348,17.1739130434783,15.1304347826087,21.3458333333333,11.4958333333333,843.3,2,657.3,562.2,790.1,927.7,219,0,0,0,0
2020-08-07,24.6708333333333,67.9166666666667,977.475,143.75,0.895833333333333,2.5875,6,3.17391304347826,15.5652173913043,10.6521739130435,26.7583333333333,21.3458333333333,845.1,2,843.3,657.3,562.2,790.1,220,0,0,0,0
2020-08-08,25.8166666666667,59.0833333333333,977.370833333333,188.416666666667,0.520833333333333,2.20416666666667,8,1.30434782608696,12.1304347826087,7.26086956521739,26.6916666666667,26.7583333333333,890.1,2,845.1,843.3,657.3,562.2,221,0,0,0,1
2020-08-09,25.9333333333333,65.7083333333333,975.075,182.791666666667,0.533333333333333,2.10833333333333,8,0.782608695652174,10.695652173913,6.21739130434783,27.1583333333333,26.6916666666667,877.7,2,890.1,845.1,843.3,657.3,222,0,0,0,1
2020-08-10,25.9416666666667,65.5833333333333,973.504166666667,139.375,0.545833333333333,2.23333333333333,6,2.95652173913043,17.5652173913043,11.6086956521739,30.6125,27.1583333333333,743.9,1,877.7,890.1,845.1,843.3,223,0,0,0,0
2020-08-11,23.4583333333333,73.6666666666667,974.741666666667,164.291666666667,0.745833333333333,2.25416666666667,7,2.34782608695652,14.9565217391304,9.82608695652174,25.6666666666667,30.6125,566.7,1,743.9,877.7,890.1,845.1,224,0,0,0,0
2020-08-12,23.7,74.625,975.566666666667,117.041666666667,0.575,2.12916666666667,5,3.43478260869565,14.9565217391304,10.5652173913043,19.2416666666667,25.6666666666667,666.6,1,566.7,743.9,877.7,890.1,225,0,0,0,0
2020-08-13,22.7666666666667,86.7083333333333,973.1375,164.208333333333,0.5125,2.41666666666667,7,5.82608695652174,18.0434782608696,14.1304347826087,22.9541666666667,19.2416666666667,860.5,2,666.6,566.7,743.9,877.7,226,0,0,0,0
2020-08-14,21.8916666666667,87.9583333333333,971.483333333333,145.458333333333,0.433333333333333,1.80833333333333,6,6.91304347826087,18.5217391304348,15.304347826087,18.225,22.9541666666667,931.7,2,860.5,666.6,566.7,743.9,227,0,0,1,0
2020-08-15,21.9666666666667,86.625,971.154166666667,161.208333333333,0.591666666666667,1.97083333333333,7,1.08695652173913,9.82608695652174,6.04347826086957,10.3625,18.225,505.1,1,931.7,860.5,666.6,566.7,228,1,0,0,1
2020-08-16,21.9208333333333,91.375,971.004166666667,172,0.570833333333333,2.13333333333333,8,1.39130434782609,8.26086956521739,5.34782608695652,11.5458333333333,10.3625,804.7,2,505.1,931.7,860.5,666.6,229,0,1,0,1
2020-08-17,21.2958333333333,94.5,968.9875,210.333333333333,0.479166666666667,2.14166666666667,9,4.73913043478261,15.2608695652174,11.8695652173913,21.6,11.5458333333333,710.7,1,804.7,505.1,931.7,860.5,230,0,0,0,0
2020-08-18,19.8458333333333,90.25,968.533333333333,231.916666666667,0.470833333333333,1.86666666666667,10,4.73913043478261,18.3478260869565,13.4782608695652,14.425,21.6,554.4,1,710.7,804.7,505.1,931.7,231,0,0,0,0
2020-08-19,20.8875,71.4166666666667,968.733333333333,205.083333333333,0.5125,2.01666666666667,9,8.1304347826087,17.6521739130435,15.6086956521739,19.5833333333333,14.425,677.5,1,554.4,710.7,804.7,505.1,232,0,0,0,0
2020-08-20,22.0083333333333,70.6666666666667,971.441666666667,188.041666666667,0.5375,2.1,8,4.78260869565217,15.695652173913,12,19.6583333333333,19.5833333333333,875.6,2,677.5,554.4,710.7,804.7,233,0,0,0,0
2020-08-21,24.4333333333333,78.5833333333333,973.566666666667,184.833333333333,0.583333333333333,1.95833333333333,8,3.52173913043478,13.5652173913043,10.0434782608696,20.5875,19.6583333333333,824.8,2,875.6,677.5,554.4,710.7,234,0,0,0,0
2020-08-22,24.7791666666667,84.9166666666667,972.591666666667,188.75,0.579166666666667,2.39583333333333,8,2.04347826086957,10.4782608695652,7.17391304347826,18.3625,20.5875,876.9,2,824.8,875.6,677.5,554.4,235,0,0,0,1
2020-08-23,22.2125,86.125,973.829166666667,140.958333333333,0.495833333333333,1.94583333333333,6,1.30434782608696,8.78260869565217,5.73913043478261,10.4541666666667,18.3625,874.2,2,876.9,824.8,875.6,677.5,236,0,0,0,1
2020-08-24,19.5791666666667,85.0833333333333,974.0875,202.333333333333,0.458333333333333,1.7,9,5.56521739130435,16.1739130434783,13,17.7333333333333,10.4541666666667,749.9,1,874.2,876.9,824.8,875.6,237,0,0,0,0
2020-08-25,20.2708333333333,71.7083333333333,972.8,156.375,0.558333333333333,2.09583333333333,7,4.78260869565217,16.2608695652174,12.3913043478261,16.6416666666667,17.7333333333333,575.4,1,749.9,874.2,876.9,824.8,238,0,0,0,0
2020-08-26,21.7958333333333,76.7916666666667,970.291666666667,167.208333333333,0.4125,1.99583333333333,7,6.86956521739131,19.1304347826087,15.6521739130435,19.7875,16.6416666666667,663.8,1,575.4,749.9,874.2,876.9,239,0,0,0,0
2020-08-27,22.95,58.375,972.1125,129.166666666667,0.733333333333333,2.62916666666667,6,5.86956521739131,16.7391304347826,13.3913043478261,20.8458333333333,19.7875,861.9,2,663.8,575.4,749.9,874.2,240,0,0,0,0
2020-08-28,21.8666666666667,73.7083333333333,967.783333333333,124.125,0.570833333333333,1.92083333333333,6,3.95652173913043,17.3913043478261,12.1739130434783,24.25,20.8458333333333,857.2,2,861.9,663.8,575.4,749.9,241,0,0,0,0
2020-08-29,23.3208333333333,82.7916666666667,963.55,146.541666666667,0.6625,2.375,6,1.47826086956522,10.5652173913043,6.65217391304348,19.4083333333333,24.25,874.8,2,857.2,861.9,663.8,575.4,242,0,0,0,1
2020-08-30,21.0291666666667,93.2083333333333,964.470833333333,180.208333333333,0.495833333333333,2.51666666666667,8,1.47826086956522,10.0869565217391,6.39130434782609,13.9666666666667,19.4083333333333,890.1,2,874.8,857.2,861.9,663.8,243,0,0,0,1
2020-08-31,17.1375,88.2083333333333,971.175,184.125,0.620833333333333,2.025,8,7.39130434782609,18.6086956521739,15.6086956521739,13.025,13.9666666666667,771.2,1,890.1,874.8,857.2,861.9,244,0,0,0,0
