,temp,rh,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2020-03-25,0.8916666666666666,68.79166666666667,13.304347826086955,19.30434782608696,20.73913043478261,20.141666666666666,19.941666666666663,1072.0,2,849.5,1058.875,1154.125,1125.625,85,0,0,0,0
2020-03-31,1.9791666666666667,56.54166666666666,18.869565217391305,26.43478260869565,29.043478260869566,15.575,13.0625,819.0,2,1072.0,849.5,1058.875,1154.125,91,0,0,0,0
2020-04-01,2.658333333333333,56.91666666666666,20.26086956521739,31.73913043478261,32.73913043478261,20.2,15.575,861.0,2,819.0,1072.0,849.5,1058.875,92,0,0,0,0
2020-04-02,4.608333333333333,51.04166666666666,20.39130434782609,36.34782608695652,35.30434782608695,26.7,20.2,903.375,2,861.0,819.0,1072.0,849.5,93,0,0,0,0
2020-04-03,8.616666666666667,47.66666666666666,27.217391304347824,37.60869565217392,41.56521739130435,29.4125,26.7,1110.5,2,903.375,861.0,819.0,1072.0,94,0,0,0,0
2020-04-04,9.379166666666666,54.375,11.91304347826087,28.08695652173913,24.26086956521739,22.775,29.4125,1163.75,2,1110.5,903.375,861.0,819.0,95,0,0,0,1
2020-04-05,9.520833333333334,55.083333333333336,6.826086956521739,23.95652173913044,17.956521739130434,20.7875,22.775,1172.5,2,1163.75,1110.5,903.375,861.0,96,0,0,0,1
2020-04-06,10.7375,51.0,13.608695652173912,35.0,29.17391304347826,35.454166666666666,20.7875,1069.875,2,1172.5,1163.75,1110.5,903.375,97,0,0,0,0
2020-04-07,10.616666666666667,42.875,13.608695652173912,33.52173913043478,28.39130434782609,32.24583333333333,35.454166666666666,855.0,2,1069.875,1172.5,1163.75,1110.5,98,0,0,0,0
2020-04-08,11.154166666666669,42.16666666666666,19.26086956521739,39.04347826086956,35.82608695652174,32.416666666666664,32.24583333333333,945.125,2,855.0,1069.875,1172.5,1163.75,99,0,0,0,0
2020-04-09,13.483333333333334,46.79166666666666,22.47826086956522,41.0,39.391304347826086,39.37083333333333,32.416666666666664,1077.5,2,945.125,855.0,1069.875,1172.5,100,0,0,0,0
2020-04-10,15.375,53.41666666666666,13.91304347826087,33.43478260869565,28.695652173913043,31.258333333333336,39.37083333333333,1083.0,2,1077.5,945.125,855.0,1069.875,101,0,0,0,0
2020-04-11,15.129166666666668,59.79166666666666,6.782608695652174,20.17391304347826,15.869565217391305,20.7375,31.258333333333336,1094.125,2,1083.0,1077.5,945.125,855.0,102,0,0,0,1
2020-04-12,15.679166666666667,56.125,4.565217391304348,20.52173913043478,14.565217391304348,19.883333333333333,20.7375,1121.875,2,1094.125,1083.0,1077.5,945.125,103,0,0,1,1
2020-04-13,16.154166666666665,52.875,4.695652173913044,18.73913043478261,13.347826086956522,18.129166666666663,19.883333333333333,1031.75,2,1121.875,1094.125,1083.0,1077.5,104,1,0,0,0
2020-04-14,7.845833333333332,56.625,12.391304347826088,19.869565217391305,20.39130434782609,16.091666666666665,18.129166666666663,798.125,1,1031.75,1121.875,1094.125,1083.0,105,0,1,0,0
2020-04-15,7.395833333333333,49.625,17.695652173913043,33.608695652173914,31.695652173913043,21.64583333333333,16.091666666666665,892.5,2,798.125,1031.75,1121.875,1094.125,106,0,0,0,0
2020-04-16,13.095833333333331,52.16666666666666,27.0,41.73913043478261,43.47826086956522,28.808333333333334,21.64583333333333,1104.75,2,892.5,798.125,1031.75,1121.875,107,0,0,0,0
2020-04-17,17.962500000000002,47.41666666666666,27.26086956521739,38.47826086956522,42.0,30.070833333333336,28.808333333333334,1110.25,2,1104.75,892.5,798.125,1031.75,108,0,0,0,0
2020-04-18,17.533333333333335,57.91666666666666,8.652173913043478,26.17391304347826,20.565217391304348,24.53333333333333,30.070833333333336,1091.5,2,1110.25,1104.75,892.5,798.125,109,0,0,0,1
2020-04-19,13.708333333333334,86.25,5.3478260869565215,14.0,11.608695652173912,13.1,24.53333333333333,1075.5,2,1091.5,1110.25,1104.75,892.5,110,0,0,0,1
2020-04-20,10.1625,69.29166666666667,11.347826086956522,23.695652173913043,21.47826086956522,24.9125,13.1,941.5,2,1075.5,1091.5,1110.25,1104.75,111,0,0,0,0
2020-04-21,10.716666666666669,51.66666666666666,23.363636363636363,31.681818181818183,35.31818181818182,24.89583333333333,24.9125,779.0,1,941.5,1075.5,1091.5,1110.25,112,0,0,0,0
2020-04-22,11.595833333333331,49.91666666666666,20.782608695652176,33.65217391304348,34.34782608695652,26.1,24.89583333333333,745.5,1,779.0,941.5,1075.5,1091.5,113,0,0,0,0
2020-04-23,12.35,50.29166666666666,17.08695652173913,34.869565217391305,31.91304347826087,25.416666666666668,26.1,1057.0,2,745.5,779.0,941.5,1075.5,114,0,0,0,0
2020-04-24,14.516666666666666,54.0,17.782608695652176,36.47826086956522,33.43478260869565,29.83333333333333,25.416666666666668,1084.125,2,1057.0,745.5,779.0,941.5,115,0,0,0,0
2020-04-25,16.366666666666667,51.29166666666666,12.304347826086955,26.30434782608696,23.695652173913043,23.183333333333334,29.83333333333333,1049.375,2,1084.125,1057.0,745.5,779.0,116,0,0,0,1
2020-04-26,13.979166666666666,55.91666666666666,3.608695652173913,11.347826086956522,8.826086956521738,15.8125,23.183333333333334,1088.25,2,1049.375,1084.125,1057.0,745.5,117,0,0,0,1
2020-04-27,14.783333333333331,70.875,15.217391304347826,28.0,26.695652173913043,21.9625,15.8125,1035.0,2,1088.25,1049.375,1084.125,1057.0,118,0,0,0,0
2020-04-28,16.599999999999998,66.0,18.217391304347824,23.39130434782609,26.82608695652174,21.041666666666668,21.9625,851.625,2,1035.0,1088.25,1049.375,1084.125,119,0,0,0,0
2020-04-29,12.770833333333334,81.95833333333333,25.26086956521739,33.30434782608695,37.65217391304348,17.141666666666666,21.041666666666668,905.25,2,851.625,1035.0,1088.25,1049.375,120,0,0,0,0
2020-04-30,15.283333333333331,67.79166666666667,19.95652173913044,26.695652173913043,30.043478260869566,21.8,17.141666666666666,1088.125,2,905.25,851.625,1035.0,1088.25,121,0,0,1,0
2020-05-01,14.083333333333334,72.33333333333333,6.0,14.043478260869565,12.217391304347826,9.341666666666669,21.8,687.375,1,1088.125,905.25,851.625,1035.0,122,1,0,0,0
2020-05-02,14.908333333333331,62.708333333333336,7.739130434782608,14.478260869565217,13.782608695652174,8.220833333333333,9.341666666666669,1058.875,2,687.375,1088.125,905.25,851.625,123,0,1,0,1
2020-05-03,10.991666666666667,64.70833333333333,7.478260869565218,16.695652173913043,14.695652173913045,7.166666666666667,8.220833333333333,1075.625,2,1058.875,687.375,1088.125,905.25,124,0,0,0,1
2020-05-04,13.608333333333334,55.04166666666666,21.17391304347826,29.73913043478261,32.47826086956522,19.45833333333333,7.166666666666667,988.0,2,1075.625,1058.875,687.375,1088.125,125,0,0,0,0
2020-05-05,12.220833333333331,81.5,23.43478260869565,31.17391304347826,35.08695652173913,19.35833333333333,19.45833333333333,798.625,1,988.0,1075.625,1058.875,687.375,126,0,0,0,0
2020-05-06,11.320833333333333,54.0,22.47826086956522,27.565217391304348,32.391304347826086,21.1125,19.35833333333333,883.5,2,798.625,988.0,1075.625,1058.875,127,0,0,0,0
2020-05-07,15.120833333333332,42.91666666666666,26.61904761904762,38.76190476190476,41.66666666666666,19.366666666666667,21.1125,800.25,2,883.5,798.625,988.0,1075.625,128,0,0,0,0
2020-05-08,17.554166666666667,51.083333333333336,16.652173913043477,37.69565217391305,33.0,22.0875,19.366666666666667,738.5,1,800.25,883.5,798.625,988.0,129,0,0,0,0
2020-05-09,18.95,67.125,7.869565217391305,30.782608695652176,22.39130434782609,19.904166666666665,22.0875,1112.0,2,738.5,800.25,883.5,798.625,130,0,0,0,1
2020-05-10,17.870833333333334,66.95833333333333,7.217391304347826,20.73913043478261,16.73913043478261,18.79583333333333,19.904166666666665,838.0,2,1112.0,738.5,800.25,883.5,131,0,0,0,1
2020-05-11,16.6125,59.833333333333336,20.782608695652176,29.26086956521739,31.95652173913044,26.64583333333333,18.79583333333333,955.25,2,838.0,1112.0,738.5,800.25,132,0,0,0,0
2020-05-12,10.683333333333332,72.45833333333333,12.73913043478261,20.0,20.565217391304348,13.270833333333334,26.64583333333333,786.375,1,955.25,838.0,1112.0,738.5,133,0,0,0,0
2020-05-13,14.2375,70.70833333333333,15.73913043478261,23.565217391304348,24.869565217391305,18.666666666666668,13.270833333333334,897.625,2,786.375,955.25,838.0,1112.0,134,0,0,0,0
2020-05-14,15.791666666666666,70.16666666666667,22.0,27.43478260869565,32.0,20.179166666666667,18.666666666666668,1065.125,2,897.625,786.375,955.25,838.0,135,0,0,0,0
2020-05-15,12.045833333333334,75.91666666666667,12.391304347826088,26.869565217391305,23.95652173913044,14.408333333333331,20.179166666666667,1065.875,2,1065.125,897.625,786.375,955.25,136,0,0,0,0
2020-05-16,12.954166666666666,69.58333333333333,6.478260869565218,17.73913043478261,14.521739130434783,12.945833333333333,14.408333333333331,1059.875,2,1065.875,1065.125,897.625,786.375,137,0,0,0,1
2020-05-17,15.158333333333331,76.20833333333333,5.608695652173913,18.26086956521739,13.956521739130435,17.720833333333335,12.945833333333333,1099.5,2,1059.875,1065.875,1065.125,897.625,138,0,0,0,1
2020-05-18,18.425,57.75,20.17391304347826,30.82608695652174,32.52173913043478,22.166666666666668,17.720833333333335,1015.5,2,1099.5,1059.875,1065.875,1065.125,139,0,0,0,0
2020-05-19,16.379166666666666,75.79166666666667,14.73913043478261,39.08695652173913,32.17391304347826,23.6625,22.166666666666668,773.5,1,1015.5,1099.5,1059.875,1065.875,140,0,0,0,0
2020-05-20,17.104166666666668,60.29166666666666,17.347826086956523,29.91304347826087,29.47826086956522,24.604166666666668,23.6625,832.25,2,773.5,1015.5,1099.5,1059.875,141,0,0,1,0
2020-05-21,16.766666666666666,53.5,5.869565217391305,19.0,14.652173913043478,13.216666666666669,24.604166666666668,833.625,2,832.25,773.5,1015.5,1099.5,142,1,0,0,0
2020-05-22,17.537499999999998,49.583333333333336,11.130434782608695,29.695652173913043,24.52173913043478,17.891666666666666,13.216666666666669,1063.75,2,833.625,832.25,773.5,1015.5,143,0,1,0,0
2020-05-23,19.325,65.125,5.3478260869565215,19.043478260869566,14.347826086956522,18.1875,17.891666666666666,1067.875,2,1063.75,833.625,832.25,773.5,144,0,0,0,1
2020-05-24,16.375,45.083333333333336,4.826086956521739,10.608695652173912,9.304347826086955,6.533333333333334,18.1875,1084.0,2,1067.875,1063.75,833.625,832.25,145,0,0,0,1
2020-05-25,14.804166666666667,59.25,15.521739130434783,26.43478260869565,26.26086956521739,15.091666666666669,6.533333333333334,997.75,2,1084.0,1067.875,1063.75,833.625,146,0,0,0,0
2020-05-26,13.554166666666667,62.125,15.043478260869565,19.82608695652174,22.565217391304348,13.676190476190476,15.091666666666669,807.125,2,997.75,1084.0,1067.875,1063.75,147,0,0,0,0
2020-05-27,16.383333333333333,46.625,16.08695652173913,24.695652173913043,25.869565217391305,16.4,13.676190476190476,884.125,2,807.125,997.75,1084.0,1067.875,148,0,0,0,0
2020-05-28,14.558333333333335,56.833333333333336,20.26086956521739,33.65217391304348,33.869565217391305,25.39583333333333,16.4,1067.625,2,884.125,807.125,997.75,1084.0,149,0,0,0,0
2020-05-29,15.566666666666668,53.75,10.26086956521739,17.73913043478261,17.26086956521739,13.675,25.39583333333333,1113.0,2,1067.625,884.125,807.125,997.75,150,0,0,0,0
2020-05-30,13.670833333333334,57.708333333333336,8.391304347826088,18.73913043478261,16.391304347826086,8.575000000000001,13.675,904.0,2,1113.0,1067.625,884.125,807.125,151,0,0,0,1
2020-05-31,12.516666666666666,65.625,6.478260869565218,17.26086956521739,14.173913043478262,8.391666666666667,8.575000000000001,813.75,2,904.0,1113.0,1067.625,884.125,152,0,0,1,1
2020-06-01,18.129166666666663,51.458333333333336,4.913043478260869,14.043478260869565,11.217391304347826,9.554166666666667,8.391666666666667,882.625,2,813.75,904.0,1113.0,1067.625,153,1,0,0,0
2020-06-02,18.454166666666666,55.583333333333336,22.73913043478261,31.26086956521739,34.47826086956522,22.704166666666666,9.554166666666667,741.0,1,882.625,813.75,904.0,1113.0,154,0,1,0,0
2020-06-03,18.966666666666665,62.125,17.608695652173914,23.91304347826087,26.65217391304348,18.616666666666667,22.704166666666666,834.625,2,741.0,882.625,813.75,904.0,155,0,0,0,0
2020-06-04,17.670833333333334,69.66666666666667,12.869565217391305,23.08695652173913,22.39130434782609,14.904166666666669,18.616666666666667,1056.5,2,834.625,741.0,882.625,813.75,156,0,0,0,0
2020-06-05,16.608333333333334,74.54166666666667,15.91304347826087,28.95652173913044,27.82608695652174,11.391666666666667,14.904166666666669,1060.875,2,1056.5,834.625,741.0,882.625,157,0,0,0,0
2020-06-06,19.091666666666665,67.70833333333333,8.826086956521738,19.95652173913044,17.52173913043478,11.4,11.391666666666667,1089.875,2,1060.875,1056.5,834.625,741.0,158,0,0,0,1
2020-06-07,21.820833333333336,59.79166666666666,4.2727272727272725,11.0,9.136363636363637,12.183333333333332,11.4,1091.125,2,1089.875,1060.875,1056.5,834.625,159,0,0,0,1
