,temp,rh,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2021-04-06,3.7708333333333335,63.29166666666666,222.0833333333333,1.05,4.458333333333333,10.0,1.380952380952381,15.38095238095238,9.047619047619047,13.804166666666667,14.4375,1659.0,3,1779.5,1770.5,1763.0,1437.5,96,0,1,0,0
2021-04-07,1.9291666666666665,59.875,261.9166666666667,0.7916666666666666,3.7875,12.0,6.782608695652174,22.13043478260869,16.956521739130434,14.558333333333332,13.804166666666667,1377.0,2,1659.0,1779.5,1770.5,1763.0,97,0,0,0,0
2021-04-08,3.5,54.583333333333336,229.2083333333333,0.9,3.5041666666666664,10.0,11.826086956521738,27.043478260869566,23.65217391304348,20.379166666666663,14.558333333333332,1525.5,3,1377.0,1659.0,1779.5,1770.5,98,0,0,0,0
2021-04-09,7.3625,53.54166666666666,136.70833333333334,0.9416666666666668,3.2416666666666667,6.0,5.545454545454546,24.59090909090909,17.318181818181817,22.88333333333333,20.379166666666663,1716.5,3,1525.5,1377.0,1659.0,1779.5,99,0,0,0,0
2021-04-10,12.108333333333334,50.375,178.125,0.8541666666666666,3.3625000000000003,8.0,1.0869565217391304,15.26086956521739,8.91304347826087,19.15,22.88333333333333,1733.0,3,1716.5,1525.5,1377.0,1659.0,100,0,0,0,1
2021-04-11,10.945833333333333,65.20833333333333,157.75,0.85,3.0708333333333333,7.0,0.5217391304347826,12.652173913043478,7.217391304347826,14.704166666666666,19.15,1762.0,3,1733.0,1716.5,1525.5,1377.0,101,0,0,0,1
2021-04-12,9.5,76.66666666666667,215.0833333333333,1.1041666666666667,5.2625,10.0,5.217391304347826,22.26086956521739,15.869565217391305,11.691666666666668,14.704166666666666,1798.0,3,1762.0,1733.0,1716.5,1525.5,102,0,0,0,0
2021-04-13,4.220833333333333,65.33333333333333,323.375,1.7333333333333334,6.633333333333333,14.0,1.391304347826087,7.869565217391305,5.217391304347826,6.4750000000000005,11.691666666666668,1695.0,3,1798.0,1762.0,1733.0,1716.5,103,0,0,0,0
2021-04-14,5.558333333333334,50.41666666666666,291.0416666666667,1.2458333333333331,4.566666666666666,13.0,1.3043478260869563,9.391304347826088,5.913043478260869,10.104166666666666,6.4750000000000005,1347.5,2,1695.0,1798.0,1762.0,1733.0,104,0,0,0,0
2021-04-15,4.691666666666666,53.54166666666666,243.66666666666663,1.0041666666666669,3.8791666666666655,11.0,4.521739130434782,19.39130434782609,13.826086956521738,16.650000000000002,10.104166666666666,1505.0,3,1347.5,1695.0,1798.0,1762.0,105,0,0,0,0
2021-04-16,5.4750000000000005,56.29166666666666,230.41666666666663,0.6291666666666667,2.566666666666667,10.0,6.304347826086956,26.043478260869566,18.82608695652174,17.045833333333334,16.650000000000002,1715.0,3,1505.0,1347.5,1695.0,1798.0,106,0,0,0,0
2021-04-17,6.933333333333334,61.0,175.91666666666666,0.4916666666666667,2.208333333333333,8.0,1.9130434782608696,19.0,11.521739130434783,17.545833333333334,17.045833333333334,1723.5,3,1715.0,1505.0,1347.5,1695.0,107,0,0,0,1
2021-04-18,7.558333333333334,69.75,187.04166666666663,0.4291666666666667,1.725,8.0,0.6521739130434783,11.652173913043478,6.695652173913044,16.720833333333335,17.545833333333334,1736.5,3,1723.5,1715.0,1505.0,1347.5,108,0,0,0,1
2021-04-19,8.862499999999999,72.58333333333333,199.29166666666663,0.6791666666666667,2.458333333333333,9.0,1.9130434782608696,17.304347826086957,10.652173913043478,13.095833333333331,16.720833333333335,1711.5,3,1736.5,1723.5,1715.0,1505.0,109,0,0,0,0
2021-04-20,9.8625,67.75,216.9583333333333,0.6124999999999999,2.316666666666667,10.0,10.08695652173913,26.39130434782609,21.782608695652176,21.52083333333333,13.095833333333331,1471.5,2,1711.5,1736.5,1723.5,1715.0,110,0,0,0,0
2021-04-21,10.6125,61.41666666666666,186.29166666666663,0.5,2.2291666666666665,8.0,10.478260869565217,29.17391304347826,23.695652173913043,24.3375,21.52083333333333,1269.0,2,1471.5,1711.5,1736.5,1723.5,111,0,0,0,0
2021-04-22,11.870833333333332,62.54166666666666,184.0,0.5541666666666667,3.025,8.0,9.608695652173912,22.82608695652174,19.695652173913043,25.416666666666668,24.3375,1353.5,2,1269.0,1471.5,1711.5,1736.5,112,0,0,0,0
2021-04-23,11.1,58.625,189.8333333333333,0.5583333333333333,2.395833333333333,8.0,5.043478260869565,20.565217391304348,14.91304347826087,23.3625,25.416666666666668,1733.0,3,1353.5,1269.0,1471.5,1711.5,113,0,0,0,0
2021-04-24,11.225,53.41666666666666,138.08333333333334,0.7166666666666667,2.441666666666667,6.0,1.826086956521739,19.13043478260869,11.434782608695652,21.445833333333336,23.3625,1704.5,3,1733.0,1353.5,1269.0,1471.5,114,0,0,0,1
2021-04-25,12.429166666666667,54.79166666666666,147.5,0.6291666666666667,2.7583333333333333,7.0,0.8260869565217391,14.478260869565217,8.347826086956522,20.3,21.445833333333336,1657.5,3,1704.5,1733.0,1353.5,1269.0,115,0,0,0,1
2021-04-26,6.025,73.20833333333333,170.25,0.4958333333333333,1.925,8.0,3.695652173913044,23.73913043478261,15.434782608695652,22.445833333333336,20.3,1749.5,3,1657.5,1704.5,1733.0,1353.5,116,0,0,0,0
2021-04-27,5.116666666666666,88.95833333333333,231.125,0.3166666666666666,1.2,10.0,8.608695652173912,24.695652173913043,19.73913043478261,30.65,22.445833333333336,1675.5,3,1749.5,1657.5,1704.5,1733.0,117,0,0,0,0
2021-04-28,9.3125,77.95833333333333,191.41666666666663,0.3958333333333333,1.6083333333333334,8.0,4.260869565217392,21.0,14.521739130434783,30.9,30.65,1394.0,2,1675.5,1749.5,1657.5,1704.5,118,0,0,0,0
2021-04-29,14.841666666666669,62.5,192.79166666666663,0.9,3.1875,9.0,3.695652173913044,14.304347826086955,10.565217391304348,23.6875,30.9,1492.5,2,1394.0,1675.5,1749.5,1657.5,119,0,0,0,0
2021-04-30,14.270833333333334,73.54166666666667,195.875,0.5375,2.1708333333333334,9.0,2.391304347826087,20.26086956521739,12.521739130434783,14.2625,23.6875,1703.5,3,1492.5,1394.0,1675.5,1749.5,120,0,0,1,0
2021-05-01,17.583333333333332,62.583333333333336,165.58333333333334,0.6541666666666667,2.983333333333333,7.0,1.565217391304348,12.565217391304348,7.739130434782608,14.583333333333334,14.2625,1195.0,2,1703.5,1492.5,1394.0,1675.5,121,1,0,0,1
