,d_temp,d_rh,n_temp,n_rh,n_pressure,n_precip,n_radiation,n_windDirDeg,n_windsp,n_windPeak,e_temp,e_rh,e_pressure,e_windDirDeg,e_windsp,e_windPeak,s_temp,s_rh,s_windDirDeg,s_windsp,s_windPeak,w_temp,w_rh,w_windDirDeg,w_windsp,w_windPeak,n_windDirClass,e_windDirClass,s_windDirClass,w_windDirClass,dayOfYear,g_holiday,g_dayAfterHoliday,g_dayBeforeHoliday,weekend
2020-10-06,13.108333333333334,73.41666666666667,13.133333333333333,74.125,972.1208333333334,0.0,174.75,148.625,0.6875,2.5,13.629166666666668,82.91666666666667,967.9708333333332,153.16666666666666,0.4458333333333333,1.8541666666666667,13.233333333333334,76.75,168.83333333333334,0.65,2.1416666666666666,13.4625,69.875,202.54166666666663,0.4458333333333333,2.066666666666667,7.0,7.0,7.0,9.0,280,0,0,0,0
2020-10-07,12.254166666666668,80.20833333333333,11.916666666666666,79.25,973.1583333333332,0.0,69.37083333333334,143.54166666666666,0.4624999999999999,1.7958333333333334,12.5625,92.04166666666669,969.0041666666666,199.4583333333333,0.3958333333333333,1.6958333333333335,12.275,81.83333333333333,201.875,0.5583333333333333,2.0500000000000003,12.383333333333333,72.91666666666667,201.04166666666663,0.5125000000000001,2.091666666666667,6.0,9.0,9.0,9.0,281,0,0,0,0
2020-10-08,11.470833333333331,71.25,11.416666666666666,72.70833333333333,981.8041666666668,0.0,163.06666666666666,188.54166666666663,0.5083333333333333,1.8916666666666664,12.158333333333331,79.08333333333333,977.7458333333334,217.91666666666663,0.4291666666666667,1.8666666666666665,11.9125,75.08333333333333,208.0,0.3791666666666666,1.820833333333333,11.808695652173911,69.1304347826087,236.6086956521739,0.4217391304347825,1.8782608695652168,8.0,10.0,9.0,10.0,282,0,0,0,0
2020-10-09,12.0625,76.04166666666667,12.825,74.58333333333333,982.2083333333334,0.0,152.79583333333332,101.41666666666669,0.6333333333333334,2.15,12.716666666666669,87.0,978.1208333333334,212.5833333333333,0.3166666666666666,1.275,12.233333333333334,78.70833333333333,174.20833333333334,0.3541666666666667,1.1458333333333333,12.554166666666667,73.375,212.7083333333333,0.35,1.2083333333333333,4.0,9.0,8.0,9.0,283,0,0,0,0
2020-10-10,13.145833333333334,78.29166666666667,13.35,77.16666666666667,978.8625,0.0020833333333333,113.65,145.41666666666666,0.6666666666666666,2.6750000000000003,13.591666666666669,87.66666666666667,974.7875,190.875,0.8125,2.4791666666666665,13.125,80.125,169.08333333333334,1.0791666666666666,2.983333333333333,13.466666666666669,72.95833333333333,207.2083333333333,0.6416666666666667,3.1333333333333333,6.0,8.0,8.0,9.0,284,0,0,0,1
2020-10-11,7.925,87.95833333333333,8.329166666666667,86.45833333333333,977.9041666666668,0.5641666666666666,23.025,243.79166666666663,0.2666666666666666,2.920833333333333,8.637500000000001,97.29166666666669,973.6958333333332,299.1666666666667,0.7000000000000001,2.770833333333333,8.35,87.66666666666667,286.3333333333333,1.525,3.9583333333333335,8.512500000000001,79.79166666666667,301.75,1.6166666666666665,5.708333333333333,11.0,13.0,13.0,13.0,285,0,0,0,1
2020-10-12,8.583333333333334,57.958333333333336,8.779166666666667,61.79166666666666,974.5125,0.0083333333333333,64.66666666666667,267.6666666666667,0.5166666666666667,4.316666666666666,8.879166666666666,67.5,970.3708333333334,298.625,1.0333333333333334,4.358333333333333,8.854166666666666,61.833333333333336,311.0416666666667,2.6958333333333333,6.883333333333333,8.941666666666666,55.25,334.5,2.1041666666666665,7.85,12.0,13.0,14.0,15.0,286,0,0,0,0
2020-10-13,8.983333333333333,55.125,9.016666666666667,60.0,968.6291666666666,0.0,39.1625,207.625,0.3,2.4541666666666666,9.570833333333333,61.54166666666666,964.3083333333334,238.3333333333333,0.7041666666666666,3.0,9.116666666666667,60.833333333333336,259.7916666666667,1.0,3.220833333333333,9.270833333333334,52.54166666666666,302.4166666666667,0.7625000000000001,3.6291666666666655,9.0,11.0,12.0,13.0,287,0,0,0,0
2020-10-14,9.045833333333333,63.458333333333336,8.6875,69.875,968.1791666666668,0.0,142.07500000000002,164.95833333333334,0.6124999999999999,2.3000000000000003,9.395833333333334,72.70833333333333,963.8458333333332,148.70833333333334,0.65,2.1083333333333334,9.395833333333334,63.708333333333336,197.375,0.8208333333333333,2.720833333333333,9.629166666666666,59.25,217.79166666666663,0.6125,2.708333333333333,7.0,7.0,9.0,10.0,288,0,0,0,0
2020-10-15,6.570833333333333,87.83333333333333,6.629166666666666,87.29166666666667,972.6916666666666,0.2054166666666666,28.029166666666665,99.625,0.3916666666666666,1.6083333333333334,6.904166666666666,93.91666666666669,968.3541666666666,213.3333333333333,0.3956521739130434,1.5304347826086957,6.8625,85.41666666666667,262.7083333333333,0.4583333333333333,1.7,6.954166666666667,83.45833333333333,231.79166666666663,0.3791666666666666,1.5416666666666667,4.0,9.0,12.0,10.0,289,0,0,0,0
2020-10-16,7.879166666666666,90.79166666666669,7.729166666666667,91.25,973.1083333333332,0.12875,40.6125,139.79166666666666,0.2541666666666667,1.1083333333333334,7.929166666666667,99.875,968.875,187.9583333333333,0.375,1.4041666666666668,7.95,92.0,164.0,0.25,0.9916666666666668,8.020833333333334,86.5,211.5833333333333,0.3125,1.275,6.0,8.0,7.0,9.0,290,0,0,0,0
2020-10-17,8.783333333333333,77.20833333333333,8.424999999999999,78.70833333333333,975.8416666666668,0.0,82.54583333333333,139.83333333333334,0.3541666666666667,1.3791666666666669,8.950000000000001,88.04166666666667,971.6625,180.5,0.3833333333333333,1.5125,8.895833333333334,80.45833333333333,254.2083333333333,0.3958333333333333,1.45,8.858333333333333,72.75,224.9583333333333,0.4125,1.6166666666666665,6.0,8.0,11.0,10.0,291,0,0,0,1
2020-10-18,7.958333333333333,79.91666666666667,7.8875,80.75,981.4541666666668,0.0,101.10416666666669,146.33333333333334,0.6124999999999999,1.9,8.35,90.79166666666669,977.275,184.3333333333333,0.3958333333333333,1.425,8.279166666666667,80.91666666666667,219.29166666666663,0.4208333333333333,1.4625,8.254166666666666,75.5,176.33333333333334,0.4916666666666667,1.6625,6.0,8.0,10.0,8.0,292,0,0,0,1
2020-10-19,9.204166666666667,82.70833333333333,8.854166666666666,82.95833333333333,984.3916666666668,0.0,64.0,160.875,0.425,1.4666666666666668,9.420833333333333,94.5,980.1458333333334,165.20833333333334,0.3374999999999999,1.3375,9.304166666666667,80.95833333333333,220.54166666666663,0.4166666666666667,1.4375,9.3,78.0,190.91666666666663,0.3166666666666667,1.2291666666666667,7.0,7.0,10.0,8.0,293,0,0,0,0
2020-10-20,7.320833333333333,87.04166666666667,7.591666666666666,86.33333333333333,983.4416666666666,0.0,117.29583333333332,136.45833333333334,0.5291666666666667,1.6,7.712499999999999,95.125,979.25,175.04166666666666,0.2875,1.3208333333333333,7.216666666666666,87.875,178.375,0.3583333333333333,1.1125,7.841666666666666,81.45833333333333,200.9583333333333,0.3333333333333333,1.3208333333333333,6.0,8.0,8.0,9.0,294,0,0,0,0
2020-10-21,8.908333333333333,81.33333333333333,9.858333333333333,80.75,977.4666666666668,0.0,123.99166666666667,132.20833333333334,0.5791666666666667,1.875,9.654166666666669,90.16666666666669,973.2958333333332,179.04166666666666,0.3,1.3625,8.674999999999999,84.875,163.45833333333334,0.3041666666666667,0.9541666666666666,9.420833333333333,77.625,221.4583333333333,0.2375,1.2416666666666667,6.0,8.0,7.0,10.0,295,0,0,0,0
2020-10-22,10.458333333333334,82.70833333333333,10.970833333333331,81.91666666666667,979.4083333333332,0.0,126.05,207.66666666666663,0.5583333333333333,1.7458333333333331,11.075,92.83333333333331,975.3,194.04166666666663,0.3166666666666666,1.3666666666666665,10.2,85.08333333333333,206.79166666666663,0.2458333333333333,0.8541666666666666,10.804166666666667,78.125,210.625,0.3125,1.2375,9.0,9.0,9.0,9.0,296,0,0,0,0
2020-10-23,10.045833333333333,87.5,10.316666666666666,87.41666666666667,977.15,0.0,74.59583333333333,226.0833333333333,0.3416666666666666,1.2333333333333334,10.408333333333331,97.5,973.0375,218.5,0.3416666666666666,1.2291666666666667,9.808333333333334,89.54166666666667,173.33333333333334,0.1916666666666666,0.7958333333333334,10.404166666666669,83.41666666666667,235.25,0.2208333333333333,0.9791666666666666,10.0,10.0,8.0,10.0,297,0,0,0,0
2020-10-24,11.2,91.41666666666669,11.55,91.95833333333331,977.1125,0.0083333333333333,33.11666666666667,124.16666666666669,0.3875,1.3916666666666666,11.608333333333334,100.0,972.975,169.33333333333334,0.2458333333333333,1.15,11.0625,93.25,150.20833333333334,0.1875,0.7791666666666667,11.441666666666668,87.16666666666667,218.875,0.1875,0.8916666666666666,6.0,8.0,7.0,10.0,298,0,0,0,1
